
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , single amp , ini learningRate = 1.000000e-02 , min batch size = 200 , DropPeriod = 12 , DropFactor = 0.100000  v1 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |         0.10 |         0.12 |       0.0048 |       0.0078 |          0.0100 |
|       1 |           4 |       00:00:03 |         0.06 |         0.06 |       0.0019 |       0.0016 |          0.0100 |
|       2 |           8 |       00:00:04 |         0.05 |         0.05 |       0.0012 |       0.0011 |          0.0100 |
|       3 |          12 |       00:00:05 |         0.04 |         0.04 |       0.0007 |       0.0007 |          0.0100 |
|       4 |          16 |       00:00:06 |         0.03 |         0.03 |       0.0004 |       0.0004 |          0.0100 |
|       5 |          20 |       00:00:06 |         0.02 |         0.02 |       0.0003 |       0.0003 |          0.0100 |
|       6 |          24 |       00:00:07 |         0.02 |         0.02 |       0.0002 |       0.0002 |          0.0100 |
|       7 |          28 |       00:00:08 |         0.02 |         0.01 |       0.0001 |       0.0001 |          0.0100 |
|       8 |          32 |       00:00:09 |         0.01 |         0.01 |   9.1458e-05 |   8.4382e-05 |          0.0100 |
|       9 |          36 |       00:00:10 |         0.01 |         0.01 |   8.1572e-05 |   7.6140e-05 |          0.0100 |
|      10 |          40 |       00:00:11 |         0.01 |         0.01 |   6.4481e-05 |   6.3709e-05 |          0.0100 |
|      11 |          44 |       00:00:12 |         0.01 |     9.96e-03 |   5.3664e-05 |   4.9600e-05 |          0.0100 |
|      12 |          48 |       00:00:13 |         0.01 |     9.86e-03 |   5.1612e-05 |   4.8641e-05 |          0.0100 |
|      13 |          50 |       00:00:13 |     9.88e-03 |              |   4.8808e-05 |              |          0.0010 |
|      13 |          52 |       00:00:14 |     9.31e-03 |     9.28e-03 |   4.3365e-05 |   4.3087e-05 |          0.0010 |
|      14 |          56 |       00:00:14 |     9.29e-03 |     9.07e-03 |   4.3111e-05 |   4.1177e-05 |          0.0010 |
