+
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 9 , DropFactor = 0.100000 
>> Hidden Units = 60 , v9 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |         1.67 |         0.83 |       1.3875 |       0.3406 |          0.0100 |
|       1 |          14 |       00:00:09 |         0.39 |         0.18 |       0.0770 |       0.0170 |          0.0100 |
|       1 |          28 |       00:00:14 |         0.18 |         0.14 |       0.0159 |       0.0102 |          0.0100 |
|       1 |          42 |       00:00:19 |         0.11 |         0.08 |       0.0059 |       0.0036 |          0.0100 |
|       1 |          50 |       00:00:22 |         0.13 |              |       0.0084 |              |          0.0100 |
|       1 |          56 |       00:00:24 |         0.10 |         0.03 |       0.0052 |       0.0006 |          0.0100 |
|       2 |          70 |       00:00:29 |         0.09 |         0.04 |       0.0045 |       0.0009 |          0.0100 |
|       2 |          84 |       00:00:34 |         0.09 |         0.04 |       0.0039 |       0.0007 |          0.0100 |
|       2 |          98 |       00:00:39 |         0.11 |         0.02 |       0.0059 |       0.0001 |          0.0100 |
|       2 |         100 |       00:00:40 |         0.08 |              |       0.0034 |              |          0.0100 |
|       2 |         112 |       00:00:45 |         0.12 |         0.11 |       0.0075 |       0.0060 |          0.0100 |
|       3 |         126 |       00:00:50 |         0.09 |         0.07 |       0.0038 |       0.0022 |          0.0100 |
