
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , single bias , ini learningRate = 1.000000e-02 , min batch size = 200 , DropPeriod = 12 , DropFactor = 0.100000  v1 
>> >>  bias = 0.100000 
load amp=1 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |         1.83 |         1.01 |       1.6712 |       0.5077 |          0.0100 |
|       1 |           4 |       00:00:02 |         0.84 |         0.82 |       0.3523 |       0.3400 |          0.0100 |
|       2 |           8 |       00:00:03 |         0.57 |         0.55 |       0.1633 |       0.1487 |          0.0100 |
|       3 |          12 |       00:00:03 |         0.43 |         0.37 |       0.0904 |       0.0702 |          0.0100 |
|       4 |          16 |       00:00:04 |         0.33 |         0.29 |       0.0529 |       0.0431 |          0.0100 |
|       5 |          20 |       00:00:05 |         0.24 |         0.25 |       0.0277 |       0.0321 |          0.0100 |
|       6 |          24 |       00:00:05 |         0.23 |         0.23 |       0.0263 |       0.0256 |          0.0100 |
|       7 |          28 |       00:00:06 |         0.20 |         0.17 |       0.0205 |       0.0150 |          0.0100 |
|       8 |          32 |       00:00:06 |         0.18 |         0.17 |       0.0155 |       0.0147 |          0.0100 |
|       9 |          36 |       00:00:07 |         0.16 |         0.17 |       0.0135 |       0.0139 |          0.0100 |
|      10 |          40 |       00:00:08 |         0.19 |         0.16 |       0.0174 |       0.0124 |          0.0100 |
|      11 |          44 |       00:00:08 |         0.15 |         0.14 |       0.0106 |       0.0101 |          0.0100 |
|      12 |          48 |       00:00:09 |         0.17 |         0.17 |       0.0141 |       0.0146 |          0.0100 |
|      13 |          50 |       00:00:09 |         0.17 |              |       0.0149 |              |          0.0010 |
|      13 |          52 |       00:00:09 |         0.15 |         0.13 |       0.0111 |       0.0087 |          0.0010 |
|      14 |          56 |       00:00:10 |         0.14 |         0.13 |       0.0092 |       0.0085 |          0.0010 |
|      15 |          60 |       00:00:11 |         0.14 |         0.12 |       0.0093 |       0.0077 |          0.0010 |
