
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , single bias , ini learningRate = 1.000000e-02 , min batch size = 200 , DropPeriod = 12 , DropFactor = 0.100000  v1 
>> >>  bias = 0.050000 
load amp=1 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |         1.50 |         0.69 |       1.1211 |       0.2404 |          0.0100 |
|       1 |           4 |       00:00:04 |         0.61 |         0.54 |       0.1859 |       0.1451 |          0.0100 |
|       2 |           8 |       00:00:04 |         0.34 |         0.35 |       0.0590 |       0.0607 |          0.0100 |
|       3 |          12 |       00:00:05 |         0.26 |         0.25 |       0.0328 |       0.0315 |          0.0100 |
|       4 |          16 |       00:00:06 |         0.18 |         0.19 |       0.0168 |       0.0171 |          0.0100 |
|       5 |          20 |       00:00:07 |         0.15 |         0.15 |       0.0105 |       0.0115 |          0.0100 |
|       6 |          24 |       00:00:07 |         0.16 |         0.11 |       0.0128 |       0.0065 |          0.0100 |
|       7 |          28 |       00:00:08 |         0.10 |         0.09 |       0.0045 |       0.0042 |          0.0100 |
|       8 |          32 |       00:00:09 |         0.10 |         0.09 |       0.0046 |       0.0044 |          0.0100 |
|       9 |          36 |       00:00:09 |         0.11 |         0.11 |       0.0065 |       0.0062 |          0.0100 |
|      10 |          40 |       00:00:10 |         0.11 |         0.06 |       0.0059 |       0.0018 |          0.0100 |
|      11 |          44 |       00:00:11 |         0.07 |         0.10 |       0.0024 |       0.0054 |          0.0100 |
|      12 |          48 |       00:00:12 |         0.06 |         0.09 |       0.0017 |       0.0043 |          0.0100 |
|      13 |          50 |       00:00:12 |         0.09 |              |       0.0042 |              |          0.0010 |
|      13 |          52 |       00:00:12 |         0.07 |         0.05 |       0.0024 |       0.0015 |          0.0010 |
|      14 |          56 |       00:00:13 |         0.06 |         0.06 |       0.0017 |       0.0021 |          0.0010 |
|      15 |          60 |       00:00:14 |         0.05 |         0.04 |       0.0013 |       0.0009 |          0.0010 |
