
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>  1 looptimes , 1 training times , load amp = 1.000000 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 1.000000 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.480820 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 4.900000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 2.100000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 2.900000e-01 
 looptime = 1 , training times = 1 , epoches = 1 , iteration = 80 , loss = 1.088403e-01 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 2 , iteration = 160 , loss = 4.219255e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 3 , iteration = 240 , loss = 2.780849e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 3 , iteration = 320 , loss = 2.231991e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 4 , iteration = 400 , loss = 1.904415e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 5 , iteration = 480 , loss = 1.748793e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 5 , iteration = 560 , loss = 1.581346e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 6 , iteration = 640 , loss = 1.478158e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 7 , iteration = 720 , loss = 1.418344e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 7 , iteration = 800 , loss = 1.349964e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 8 , iteration = 880 , loss = 1.288433e-02 , learnRate = 1.000000e-02 
 looptime = 1 , training times = 1 , epoches = 9 , iteration = 960 , loss = 1.271359e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 9 , iteration = 1040 , loss = 1.233830e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 10 , iteration = 1120 , loss = 1.226527e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 11 , iteration = 1200 , loss = 1.236103e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 12 , iteration = 1280 , loss = 1.243838e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 12 , iteration = 1360 , loss = 1.234876e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 13 , iteration = 1440 , loss = 1.252526e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 14 , iteration = 1520 , loss = 1.232927e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 14 , iteration = 1600 , loss = 1.216220e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 15 , iteration = 1680 , loss = 1.229184e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 16 , iteration = 1760 , loss = 1.212793e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 16 , iteration = 1840 , loss = 1.205918e-02 , learnRate = 1.000000e-03 
 looptime = 1 , training times = 1 , epoches = 17 , iteration = 1920 , loss = 1.209206e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 18 , iteration = 2000 , loss = 1.213051e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 18 , iteration = 2080 , loss = 1.205715e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 19 , iteration = 2160 , loss = 1.198627e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 20 , iteration = 2240 , loss = 1.203762e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 20 , iteration = 2320 , loss = 1.216511e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 21 , iteration = 2400 , loss = 1.203170e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 22 , iteration = 2480 , loss = 1.208137e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 23 , iteration = 2560 , loss = 1.199899e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 23 , iteration = 2640 , loss = 1.181802e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 24 , iteration = 2720 , loss = 1.217568e-02 , learnRate = 1.000000e-04 
 looptime = 1 , training times = 1 , epoches = 25 , iteration = 2800 , loss = 1.197648e-02 , learnRate = 1.000000e-05 
 looptime = 1 , training times = 1 , epoches = 25 , iteration = 2880 , loss = 1.206589e-02 , learnRate = 1.000000e-05 
 looptime = 1 , training times = 1 , epoches = 26 , iteration = 2960 , loss = 1.211181e-02 , learnRate = 1.000000e-05 
 looptime = 1 , training times = 1 , epoches = 27 , iteration = 3040 , loss = 1.206745e-02 , learnRate = 1.000000e-05 
 looptime = 1 , training times = 1 , epoches = 27 , iteration = 3120 , loss = 1.197280e-02 , learnRate = 1.000000e-05 
 looptime = 1 , training times = 1 , epoches = 28 , iteration = 3200 , loss = 1.186263e-02 , learnRate = 1.000000e-05 
